,id_x,player_fifa_api_id_x,player_api_id,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,id_y,player_name,player_fifa_api_id_y,height,weight,age
89662,89663,198704,215226,2016-05-12 00:00:00,71.0,76.0,left,medium,medium,70.0,66.0,44.0,76.0,48.0,72.0,65.0,55.0,73.0,75.0,78.0,74.0,81.0,68.0,83.0,72.0,54.0,70.0,53.0,69.0,51.0,53.0,66.0,77.0,62.0,66.0,60.0,64.0,9.0,10.0,7.0,16.0,15.0,5400,Joshua McEachran,198704,177,143,23
89685,89686,219833,478997,2016-03-17 00:00:00,57.0,66.0,right,medium,medium,47.0,28.0,55.0,35.0,30.0,43.0,38.0,34.0,29.0,34.0,66.0,58.0,55.0,52.0,57.0,27.0,62.0,63.0,63.0,30.0,69.0,58.0,37.0,33.0,47.0,65.0,70.0,65.0,7.0,12.0,12.0,16.0,14.0,5401,Joshua Nadeau,219833,182,187,22
89690,89691,193647,182072,2015-05-22 00:00:00,56.0,60.0,left,high,medium,57.0,51.0,46.0,64.0,52.0,50.0,51.0,43.0,58.0,56.0,64.0,67.0,67.0,66.0,49.0,45.0,66.0,64.0,75.0,54.0,60.0,50.0,57.0,57.0,48.0,50.0,56.0,54.0,8.0,8.0,7.0,6.0,8.0,5402,Joshua Silva,193647,193,172,25
89696,89697,186543,110106,2015-05-08 00:00:00,64.0,66.0,right,medium,high,35.0,24.0,70.0,55.0,35.0,29.0,43.0,35.0,56.0,53.0,57.0,68.0,49.0,54.0,40.0,70.0,70.0,67.0,90.0,55.0,65.0,57.0,29.0,43.0,40.0,63.0,62.0,60.0,14.0,13.0,6.0,13.0,11.0,5403,Josimar Lima,186543,190,187,26
89705,89706,189572,15456,2008-08-30 00:00:00,59.0,62.0,right,,_0,41.0,37.0,60.0,49.0,,30.0,,39.0,47.0,41.0,53.0,57.0,,55.0,,59.0,,65.0,75.0,39.0,70.0,59.0,62.0,,65.0,56.0,60.0,,5.0,22.0,47.0,22.0,22.0,5404,Josip Barisic,189572,193,185,27
89714,89715,144588,7681,2010-08-30 00:00:00,59.0,69.0,right,None,o,62.0,41.0,49.0,57.0,57.0,49.0,39.0,46.0,49.0,63.0,52.0,52.0,49.0,61.0,69.0,51.0,39.0,53.0,73.0,54.0,71.0,59.0,43.0,62.0,48.0,54.0,62.0,58.0,15.0,12.0,6.0,11.0,5.0,5406,Josip Colina,144588,187,196,30
89720,89721,198504,194533,2016-02-18 00:00:00,77.0,82.0,right,medium,medium,70.0,80.0,66.0,75.0,76.0,80.0,76.0,51.0,63.0,79.0,78.0,79.0,76.0,77.0,76.0,77.0,74.0,69.0,67.0,73.0,70.0,35.0,80.0,57.0,74.0,27.0,37.0,40.0,7.0,9.0,13.0,8.0,13.0,5407,Josip Drmic,198504,180,176,24
89748,89749,200647,147951,2016-05-12 00:00:00,80.0,80.0,left,medium,medium,79.0,76.0,58.0,82.0,80.0,83.0,77.0,84.0,73.0,87.0,69.0,74.0,69.0,78.0,50.0,87.0,34.0,69.0,69.0,86.0,58.0,46.0,80.0,82.0,78.0,28.0,34.0,30.0,13.0,13.0,8.0,12.0,6.0,5408,Josip Ilicic,200647,190,174,28
89779,89780,232350,655544,2016-04-21 00:00:00,54.0,66.0,right,medium,medium,12.0,6.0,14.0,22.0,7.0,6.0,12.0,10.0,23.0,11.0,31.0,17.0,25.0,47.0,24.0,25.0,36.0,24.0,57.0,7.0,24.0,14.0,7.0,35.0,19.0,7.0,10.0,11.0,58.0,50.0,58.0,54.0,58.0,5409,Josip Posavec,232350,190,181,20
89783,89784,211671,298940,2016-02-04 00:00:00,65.0,73.0,right,medium,medium,38.0,40.0,60.0,67.0,48.0,49.0,52.0,56.0,63.0,60.0,60.0,65.0,59.0,62.0,71.0,65.0,64.0,69.0,74.0,43.0,73.0,67.0,52.0,60.0,45.0,65.0,65.0,59.0,13.0,6.0,9.0,10.0,12.0,5410,Josip Radosevic,211671,180,163,22
89789,89790,10866,30693,2012-02-22 00:00:00,76.0,76.0,left,medium,medium,54.0,51.0,83.0,72.0,25.0,58.0,31.0,38.0,72.0,69.0,53.0,57.0,46.0,70.0,43.0,63.0,53.0,52.0,85.0,47.0,79.0,72.0,32.0,60.0,54.0,74.0,76.0,73.0,14.0,9.0,9.0,15.0,5.0,5411,Josip Simunic,10866,195,209,34
89798,89799,167430,27431,2015-09-21 00:00:00,63.0,63.0,right,medium,medium,56.0,63.0,65.0,59.0,66.0,64.0,45.0,60.0,54.0,58.0,68.0,67.0,65.0,59.0,65.0,69.0,76.0,80.0,73.0,62.0,65.0,26.0,58.0,52.0,59.0,44.0,27.0,15.0,12.0,6.0,10.0,13.0,8.0,5412,Josip Tadic,167430,187,163,28
89812,89813,227833,446525,2015-02-20 00:00:00,56.0,64.0,left,medium,medium,52.0,47.0,33.0,59.0,42.0,57.0,52.0,57.0,52.0,56.0,66.0,61.0,67.0,48.0,76.0,57.0,50.0,45.0,42.0,47.0,45.0,22.0,52.0,60.0,49.0,35.0,28.0,42.0,8.0,12.0,8.0,9.0,5.0,5413,Josu,227833,175,146,22
89814,89815,199739,163824,2016-04-21 00:00:00,74.0,77.0,left,medium,medium,73.0,71.0,57.0,77.0,61.0,77.0,78.0,73.0,73.0,79.0,68.0,69.0,76.0,73.0,80.0,82.0,52.0,75.0,64.0,79.0,84.0,52.0,72.0,78.0,75.0,41.0,50.0,40.0,15.0,10.0,15.0,16.0,10.0,5414,Josue,199739,175,165,26
89891,89892,202541,244563,2016-06-16 00:00:00,70.0,74.0,left,high,low,59.0,71.0,43.0,74.0,40.0,74.0,64.0,69.0,71.0,78.0,73.0,69.0,77.0,67.0,70.0,68.0,59.0,65.0,58.0,69.0,49.0,29.0,63.0,66.0,57.0,14.0,26.0,16.0,14.0,14.0,13.0,6.0,8.0,5417,Jota,202541,180,154,25
89916,89917,219958,15938,2016-03-24 00:00:00,66.0,66.0,right,medium,low,28.0,70.0,72.0,58.0,66.0,48.0,37.0,34.0,30.0,58.0,54.0,53.0,48.0,64.0,52.0,75.0,60.0,59.0,78.0,65.0,62.0,19.0,71.0,57.0,62.0,14.0,22.0,12.0,16.0,13.0,15.0,16.0,9.0,5418,Jovan Kostovski,219958,187,185,29
89924,89925,210214,427893,2016-04-28 00:00:00,71.0,75.0,right,high,medium,54.0,63.0,51.0,76.0,47.0,68.0,55.0,52.0,70.0,75.0,58.0,57.0,63.0,72.0,61.0,70.0,65.0,69.0,66.0,67.0,58.0,72.0,70.0,76.0,45.0,65.0,73.0,67.0,8.0,10.0,9.0,8.0,13.0,5419,Jozabed,210214,180,148,25
89945,89946,220408,34336,2016-03-10 00:00:00,63.0,63.0,right,low,high,27.0,26.0,57.0,52.0,33.0,27.0,39.0,30.0,57.0,32.0,55.0,53.0,32.0,53.0,62.0,44.0,72.0,53.0,92.0,18.0,67.0,55.0,26.0,34.0,42.0,59.0,69.0,64.0,10.0,7.0,10.0,11.0,13.0,5420,Jozef Piacek,220408,193,203,33
89950,89951,231002,427061,2016-04-07 00:00:00,66.0,74.0,right,medium,medium,24.0,19.0,70.0,64.0,31.0,60.0,24.0,25.0,55.0,62.0,65.0,67.0,47.0,60.0,65.0,42.0,68.0,62.0,77.0,26.0,65.0,66.0,30.0,40.0,36.0,61.0,65.0,65.0,6.0,6.0,6.0,11.0,9.0,5421,Jozo Simunovic,231002,190,179,22
89956,89957,196220,140988,2015-08-21 00:00:00,69.0,74.0,right,medium,high,72.0,62.0,68.0,74.0,39.0,66.0,57.0,41.0,70.0,72.0,76.0,68.0,77.0,73.0,73.0,68.0,77.0,76.0,74.0,72.0,74.0,69.0,52.0,63.0,53.0,61.0,66.0,68.0,5.0,13.0,5.0,10.0,7.0,5422,Jozsef Varga,196220,175,157,27
89972,89973,176237,70297,2016-03-03 00:00:00,74.0,76.0,right,medium,low,39.0,73.0,76.0,67.0,66.0,73.0,66.0,66.0,59.0,68.0,69.0,73.0,75.0,68.0,46.0,81.0,73.0,74.0,86.0,70.0,75.0,32.0,73.0,66.0,75.0,26.0,34.0,27.0,16.0,9.0,14.0,12.0,12.0,5423,Jozy Altidore,176237,185,174,27
90007,90008,197166,199297,2016-05-19 00:00:00,68.0,72.0,right,medium,medium,55.0,66.0,66.0,60.0,65.0,76.0,65.0,51.0,40.0,71.0,78.0,79.0,81.0,62.0,51.0,75.0,80.0,63.0,70.0,60.0,70.0,32.0,65.0,60.0,64.0,29.0,33.0,36.0,13.0,9.0,10.0,10.0,9.0,5424,Juan Agudelo,197166,185,181,24
90041,90042,176586,37469,2016-04-28 00:00:00,72.0,72.0,left,high,low,67.0,69.0,43.0,72.0,54.0,75.0,75.0,73.0,65.0,77.0,75.0,72.0,76.0,71.0,61.0,75.0,65.0,72.0,74.0,73.0,57.0,35.0,68.0,71.0,68.0,34.0,45.0,41.0,13.0,7.0,8.0,6.0,15.0,5425,Juan Albin,176586,180,187,30
90064,90065,210585,114601,2015-06-05 00:00:00,63.0,66.0,right,medium,medium,60.0,54.0,52.0,62.0,58.0,65.0,59.0,61.0,63.0,64.0,72.0,69.0,73.0,62.0,65.0,52.0,58.0,54.0,55.0,62.0,56.0,30.0,60.0,62.0,64.0,25.0,22.0,20.0,14.0,15.0,7.0,10.0,8.0,5426,Juan Angel Neira,210585,177,152,26
90076,90077,156776,38398,2015-09-25 00:00:00,75.0,75.0,left,medium,low,80.0,68.0,41.0,80.0,81.0,74.0,86.0,91.0,79.0,85.0,66.0,64.0,67.0,76.0,66.0,86.0,76.0,68.0,72.0,89.0,38.0,64.0,76.0,80.0,86.0,30.0,26.0,15.0,6.0,11.0,8.0,6.0,10.0,5427,Juan Arango,156776,180,170,35
90106,90107,205069,282691,2015-09-21 00:00:00,79.0,83.0,left,high,medium,82.0,57.0,53.0,81.0,59.0,81.0,76.0,51.0,72.0,83.0,85.0,78.0,84.0,78.0,88.0,63.0,73.0,79.0,57.0,62.0,74.0,77.0,74.0,70.0,53.0,82.0,82.0,81.0,8.0,9.0,12.0,11.0,16.0,5428,Juan Bernat,205069,170,148,22
90129,90130,203734,246187,2015-04-17 00:00:00,63.0,65.0,right,medium,medium,39.0,24.0,61.0,58.0,25.0,42.0,43.0,43.0,56.0,53.0,64.0,64.0,60.0,68.0,61.0,62.0,82.0,73.0,67.0,53.0,73.0,51.0,50.0,52.0,42.0,62.0,61.0,64.0,5.0,7.0,9.0,7.0,12.0,5429,Juan Calahorro,203734,182,165,27
90142,90143,176546,50074,2016-04-21 00:00:00,72.0,72.0,right,high,medium,76.0,56.0,54.0,74.0,66.0,80.0,74.0,59.0,70.0,78.0,88.0,86.0,90.0,68.0,86.0,76.0,68.0,68.0,68.0,72.0,71.0,68.0,70.0,60.0,67.0,66.0,70.0,74.0,7.0,13.0,10.0,9.0,9.0,5430,Juan Camilo Zuniga,176546,172,159,31
90177,90178,140392,27515,2015-10-16 00:00:00,65.0,65.0,right,medium,low,66.0,64.0,61.0,69.0,72.0,71.0,52.0,64.0,68.0,69.0,75.0,78.0,76.0,63.0,75.0,62.0,62.0,59.0,54.0,59.0,51.0,37.0,65.0,64.0,52.0,22.0,21.0,20.0,9.0,12.0,11.0,10.0,7.0,5431,Juan Carlos Menseguez,140392,175,150,31
90185,90186,207448,165773,2016-05-05 00:00:00,70.0,70.0,right,high,medium,62.0,33.0,57.0,65.0,43.0,69.0,56.0,27.0,67.0,67.0,78.0,85.0,90.0,74.0,85.0,66.0,71.0,76.0,61.0,59.0,55.0,70.0,40.0,52.0,52.0,68.0,69.0,67.0,16.0,15.0,7.0,14.0,15.0,5432,Juan Carlos Paredes,207448,177,159,29
90203,90204,19896,33761,2016-01-21 00:00:00,74.0,74.0,right,medium,low,72.0,60.0,63.0,83.0,59.0,75.0,72.0,67.0,73.0,83.0,43.0,32.0,49.0,80.0,65.0,49.0,27.0,26.0,43.0,63.0,34.0,27.0,64.0,88.0,66.0,14.0,20.0,14.0,7.0,8.0,14.0,9.0,8.0,5433,Juan Carlos Valeron,19896,185,168,41
90225,90226,201509,215927,2016-03-31 00:00:00,72.0,74.0,left,medium,medium,77.0,53.0,57.0,75.0,80.0,71.0,76.0,50.0,57.0,77.0,78.0,84.0,79.0,81.0,75.0,70.0,68.0,68.0,63.0,63.0,76.0,69.0,73.0,53.0,55.0,68.0,67.0,70.0,10.0,9.0,11.0,8.0,6.0,5434,Juan Carlos,201509,177,159,26
90290,90291,193082,155066,2016-05-12 00:00:00,81.0,81.0,right,high,medium,75.0,71.0,58.0,77.0,73.0,90.0,71.0,69.0,70.0,85.0,91.0,93.0,91.0,75.0,77.0,83.0,68.0,80.0,61.0,80.0,69.0,44.0,78.0,68.0,65.0,48.0,45.0,57.0,5.0,5.0,13.0,6.0,9.0,5437,Juan Cuadrado,193082,177,157,28
90331,90332,214313,480778,2016-04-28 00:00:00,70.0,77.0,right,high,high,61.0,73.0,71.0,67.0,42.0,72.0,46.0,35.0,65.0,71.0,82.0,81.0,84.0,61.0,78.0,69.0,74.0,76.0,72.0,63.0,55.0,40.0,70.0,61.0,51.0,39.0,30.0,24.0,14.0,6.0,13.0,10.0,11.0,5438,Juan Delgado,214313,177,157,23
90357,90358,193735,189178,2016-05-12 00:00:00,72.0,74.0,right,medium,medium,58.0,52.0,39.0,76.0,54.0,72.0,65.0,59.0,75.0,78.0,63.0,60.0,66.0,77.0,64.0,49.0,72.0,74.0,70.0,63.0,67.0,67.0,68.0,79.0,55.0,68.0,67.0,66.0,12.0,9.0,6.0,16.0,10.0,5439,Juan Dominguez Lamas,193735,180,157,26
90377,90378,143157,18913,2015-10-16 00:00:00,69.0,69.0,left,medium,medium,67.0,58.0,63.0,68.0,60.0,69.0,71.0,69.0,67.0,70.0,85.0,81.0,77.0,66.0,78.0,71.0,75.0,70.0,56.0,75.0,66.0,64.0,62.0,65.0,78.0,65.0,68.0,68.0,14.0,14.0,12.0,11.0,7.0,5440,Juan Eduardo Eluchans,143157,177,150,35
90400,90401,220766,116253,2016-05-05 00:00:00,67.0,68.0,right,high,medium,50.0,68.0,63.0,60.0,54.0,63.0,35.0,31.0,50.0,66.0,68.0,71.0,64.0,65.0,63.0,70.0,58.0,67.0,70.0,67.0,68.0,31.0,70.0,58.0,63.0,19.0,20.0,18.0,15.0,10.0,10.0,6.0,9.0,5441,Juan Falcon,220766,177,179,27
90410,90411,183969,121716,2016-01-14 00:00:00,73.0,73.0,right,medium,high,61.0,36.0,72.0,68.0,40.0,50.0,51.0,38.0,69.0,70.0,62.0,66.0,63.0,71.0,68.0,60.0,90.0,73.0,71.0,12.0,72.0,72.0,41.0,59.0,51.0,75.0,74.0,74.0,10.0,6.0,7.0,13.0,8.0,5442,Juan Forlin,183969,180,157,28
90432,90433,203671,42491,2016-05-12 00:00:00,73.0,73.0,right,medium,medium,69.0,69.0,74.0,69.0,69.0,76.0,73.0,54.0,51.0,76.0,82.0,84.0,78.0,70.0,78.0,69.0,88.0,69.0,68.0,60.0,50.0,24.0,76.0,68.0,69.0,19.0,31.0,25.0,8.0,14.0,6.0,6.0,14.0,5443,Juan Gomez,203671,180,165,31
90462,90463,115768,37511,2013-07-05 00:00:00,70.0,70.0,right,medium,medium,11.0,11.0,10.0,37.0,10.0,14.0,10.0,10.0,32.0,15.0,56.0,50.0,55.0,63.0,49.0,35.0,62.0,47.0,75.0,12.0,42.0,25.0,15.0,21.0,25.0,11.0,10.0,16.0,73.0,69.0,63.0,67.0,76.0,5444,Juan Jesus Calatayud,115768,190,194,34
90474,90475,185076,50044,2016-04-28 00:00:00,65.0,65.0,left,high,low,57.0,65.0,69.0,59.0,61.0,65.0,50.0,54.0,48.0,63.0,68.0,71.0,68.0,66.0,53.0,66.0,79.0,60.0,70.0,64.0,72.0,14.0,60.0,51.0,49.0,15.0,16.0,12.0,14.0,7.0,6.0,14.0,9.0,5445,Juan Lorca,185076,182,163,31
90489,90490,199151,245572,2016-03-31 00:00:00,77.0,83.0,left,medium,medium,67.0,65.0,40.0,68.0,61.0,85.0,71.0,73.0,54.0,81.0,93.0,92.0,92.0,69.0,91.0,76.0,68.0,62.0,40.0,76.0,74.0,21.0,75.0,71.0,62.0,18.0,30.0,26.0,12.0,8.0,12.0,6.0,9.0,5446,Juan Manuel Iturbe,199151,170,137,23
90514,90515,178088,41468,2016-03-24 00:00:00,83.0,83.0,left,medium,medium,83.0,77.0,63.0,86.0,71.0,85.0,83.0,83.0,77.0,88.0,78.0,63.0,90.0,87.0,89.0,74.0,72.0,76.0,43.0,72.0,52.0,39.0,84.0,88.0,81.0,25.0,28.0,21.0,9.0,10.0,14.0,5.0,8.0,5447,Juan Mata,178088,170,139,28
90548,90549,224045,561433,2016-04-14 00:00:00,72.0,81.0,right,medium,medium,31.0,74.0,73.0,60.0,73.0,70.0,39.0,35.0,40.0,73.0,71.0,69.0,73.0,70.0,66.0,77.0,64.0,68.0,66.0,66.0,69.0,20.0,72.0,42.0,67.0,12.0,17.0,18.0,9.0,7.0,8.0,10.0,14.0,5448,Juan Munoz,224045,182,168,21
90557,90558,167666,25735,2015-09-21 00:00:00,74.0,74.0,right,medium,medium,12.0,10.0,12.0,33.0,11.0,13.0,11.0,13.0,32.0,24.0,59.0,48.0,56.0,71.0,60.0,23.0,75.0,31.0,65.0,11.0,25.0,20.0,15.0,59.0,22.0,14.0,12.0,11.0,77.0,72.0,72.0,73.0,77.0,5449,Juan Pablo Carrizo,167666,187,192,31
90582,90583,170579,25789,2014-09-18 00:00:00,58.0,58.0,right,medium,high,50.0,50.0,59.0,57.0,50.0,48.0,49.0,55.0,58.0,52.0,67.0,65.0,57.0,54.0,61.0,63.0,76.0,52.0,59.0,59.0,59.0,62.0,28.0,46.0,47.0,55.0,56.0,60.0,14.0,12.0,12.0,12.0,12.0,5450,Juan Pablo Garat,170579,187,165,31
90588,90589,179713,51371,2014-11-14 00:00:00,68.0,70.0,right,medium,low,57.0,61.0,48.0,64.0,59.0,75.0,55.0,72.0,61.0,74.0,88.0,84.0,74.0,66.0,69.0,60.0,70.0,61.0,60.0,72.0,41.0,33.0,64.0,66.0,63.0,25.0,24.0,28.0,15.0,13.0,14.0,14.0,8.0,5451,Juan Pablo Pino,179713,175,159,27
90601,90602,109969,75195,2016-01-14 00:00:00,66.0,66.0,right,medium,medium,18.0,13.0,13.0,31.0,12.0,12.0,14.0,11.0,26.0,26.0,55.0,57.0,58.0,59.0,54.0,12.0,71.0,55.0,76.0,19.0,61.0,24.0,12.0,37.0,11.0,12.0,13.0,10.0,70.0,64.0,66.0,65.0,71.0,5452,Juan Pablo,109969,187,183,38
90616,90617,171126,97226,2012-02-22 00:00:00,64.0,65.0,right,medium,low,56.0,51.0,45.0,53.0,53.0,71.0,64.0,59.0,49.0,64.0,92.0,90.0,92.0,70.0,95.0,58.0,70.0,62.0,27.0,52.0,37.0,23.0,63.0,52.0,65.0,27.0,13.0,21.0,6.0,15.0,8.0,11.0,5.0,5453,Juan Quero,171126,157,117,28
90626,90627,210513,207617,2016-04-28 00:00:00,78.0,83.0,left,medium,low,77.0,65.0,42.0,81.0,65.0,85.0,82.0,82.0,80.0,83.0,78.0,76.0,90.0,66.0,90.0,85.0,53.0,55.0,39.0,77.0,43.0,35.0,62.0,81.0,71.0,18.0,30.0,22.0,14.0,16.0,10.0,7.0,12.0,5454,Juan Quintero,210513,170,141,23
90648,90649,194519,190452,2016-01-21 00:00:00,71.0,73.0,left,medium,medium,69.0,23.0,69.0,68.0,25.0,60.0,57.0,39.0,58.0,71.0,73.0,77.0,68.0,65.0,71.0,59.0,74.0,77.0,70.0,45.0,74.0,70.0,32.0,49.0,35.0,76.0,70.0,72.0,13.0,12.0,13.0,11.0,16.0,5455,Juan Rafael Fuentes,194519,177,154,26
90665,90666,158216,75199,2013-03-22 00:00:00,64.0,64.0,right,medium,medium,64.0,25.0,53.0,56.0,47.0,45.0,71.0,44.0,61.0,53.0,56.0,66.0,47.0,59.0,59.0,64.0,64.0,59.0,72.0,31.0,72.0,70.0,45.0,52.0,43.0,62.0,71.0,59.0,12.0,11.0,15.0,14.0,11.0,5456,Juan Ramon Cabrero Juanra,158216,182,172,33
90678,90679,147305,37449,2016-04-14 00:00:00,74.0,74.0,right,medium,medium,60.0,59.0,71.0,84.0,47.0,67.0,58.0,60.0,70.0,75.0,49.0,34.0,58.0,76.0,55.0,82.0,64.0,72.0,78.0,68.0,76.0,75.0,70.0,77.0,54.0,62.0,73.0,61.0,12.0,11.0,16.0,13.0,8.0,5457,Juan Rodriguez,147305,185,176,34
90698,90699,201953,239981,2016-01-21 00:00:00,72.0,74.0,left,medium,medium,76.0,68.0,60.0,74.0,64.0,73.0,75.0,75.0,75.0,71.0,79.0,77.0,73.0,68.0,69.0,76.0,70.0,70.0,67.0,76.0,64.0,69.0,66.0,71.0,69.0,41.0,47.0,40.0,12.0,13.0,11.0,14.0,9.0,5458,Juan Sanchez Mino,201953,177,172,26
90717,90718,164910,33634,2014-11-07 00:00:00,76.0,76.0,right,medium,high,74.0,41.0,83.0,72.0,26.0,64.0,62.0,56.0,69.0,77.0,74.0,76.0,68.0,82.0,60.0,68.0,86.0,79.0,74.0,60.0,84.0,76.0,56.0,65.0,58.0,66.0,72.0,74.0,12.0,13.0,7.0,13.0,5.0,5459,Juan Valera,164910,182,168,30
90737,90738,167305,39719,2016-04-28 00:00:00,76.0,76.0,left,medium,medium,86.0,69.0,66.0,76.0,79.0,76.0,81.0,76.0,77.0,78.0,74.0,78.0,69.0,71.0,66.0,90.0,66.0,73.0,77.0,85.0,83.0,72.0,72.0,71.0,71.0,72.0,79.0,77.0,10.0,6.0,11.0,9.0,14.0,5460,Juan Vargas,167305,180,170,33
90767,90768,200752,197352,2016-04-21 00:00:00,75.0,78.0,left,medium,high,66.0,20.0,76.0,58.0,17.0,60.0,48.0,36.0,56.0,57.0,79.0,79.0,62.0,76.0,59.0,62.0,92.0,79.0,84.0,35.0,85.0,83.0,38.0,34.0,37.0,81.0,82.0,78.0,12.0,11.0,7.0,8.0,14.0,5461,Juan,200752,185,183,25
90825,90826,189391,150327,2015-10-16 00:00:00,64.0,64.0,left,low,medium,45.0,25.0,74.0,53.0,43.0,38.0,41.0,29.0,60.0,49.0,27.0,34.0,24.0,52.0,21.0,59.0,31.0,59.0,89.0,35.0,56.0,62.0,35.0,36.0,25.0,61.0,74.0,54.0,8.0,16.0,7.0,8.0,7.0,5463,Juanan,189391,193,192,28
90843,90844,145014,37666,2015-09-21 00:00:00,68.0,68.0,right,medium,medium,46.0,32.0,52.0,69.0,48.0,58.0,46.0,55.0,67.0,64.0,68.0,65.0,63.0,61.0,51.0,49.0,63.0,79.0,73.0,47.0,77.0,71.0,60.0,66.0,48.0,57.0,68.0,64.0,13.0,5.0,12.0,12.0,14.0,5464,Juande,145014,182,165,29
90865,90866,10764,37484,2016-03-03 00:00:00,72.0,72.0,left,low,medium,70.0,40.0,59.0,59.0,44.0,60.0,68.0,66.0,64.0,64.0,63.0,59.0,56.0,75.0,54.0,64.0,67.0,34.0,80.0,50.0,82.0,81.0,58.0,54.0,50.0,72.0,75.0,67.0,9.0,6.0,12.0,11.0,6.0,5465,Juanfran Garcia,10764,182,172,40
90902,90903,188135,103905,2016-02-25 00:00:00,74.0,75.0,right,high,medium,77.0,53.0,64.0,69.0,53.0,71.0,64.0,60.0,63.0,74.0,78.0,81.0,77.0,73.0,71.0,80.0,74.0,87.0,73.0,67.0,71.0,76.0,69.0,63.0,59.0,66.0,70.0,69.0,13.0,9.0,13.0,10.0,14.0,5466,Juanfran,188135,177,159,28
90947,90948,134597,30750,2012-02-22 00:00:00,67.0,67.0,right,medium,medium,48.0,49.0,77.0,66.0,24.0,50.0,46.0,29.0,61.0,57.0,46.0,51.0,44.0,53.0,57.0,60.0,60.0,47.0,78.0,55.0,73.0,71.0,39.0,59.0,43.0,67.0,70.0,58.0,10.0,14.0,10.0,13.0,7.0,5468,Juanito,134597,182,170,36
90962,90963,171106,33891,2016-03-17 00:00:00,67.0,67.0,right,medium,low,33.0,68.0,69.0,55.0,64.0,61.0,58.0,44.0,32.0,62.0,58.0,62.0,49.0,56.0,52.0,75.0,72.0,72.0,89.0,54.0,68.0,25.0,75.0,44.0,62.0,33.0,28.0,26.0,15.0,16.0,8.0,7.0,10.0,5470,Juanjo,171106,187,176,31
90991,90992,158806,38451,2015-04-17 00:00:00,67.0,67.0,right,medium,medium,76.0,46.0,48.0,64.0,57.0,70.0,79.0,66.0,71.0,67.0,68.0,70.0,73.0,50.0,66.0,68.0,57.0,74.0,58.0,66.0,50.0,48.0,54.0,62.0,56.0,36.0,47.0,48.0,15.0,15.0,10.0,9.0,5.0,5471,Juanlu,158806,177,168,31
91027,91028,112549,75239,2014-07-18 00:00:00,67.0,67.0,right,high,medium,68.0,63.0,50.0,66.0,59.0,64.0,55.0,60.0,58.0,67.0,72.0,77.0,73.0,79.0,72.0,80.0,81.0,84.0,75.0,59.0,81.0,68.0,63.0,59.0,58.0,53.0,66.0,58.0,15.0,9.0,6.0,5.0,5.0,5473,Juanma Ortiz,112549,177,154,32
91047,91048,110301,38889,2015-06-05 00:00:00,65.0,65.0,right,medium,medium,72.0,54.0,53.0,68.0,50.0,63.0,72.0,59.0,60.0,63.0,71.0,72.0,73.0,74.0,67.0,62.0,59.0,49.0,60.0,56.0,50.0,42.0,60.0,67.0,58.0,50.0,50.0,50.0,9.0,10.0,10.0,14.0,5.0,5474,Juanma,110301,175,159,34
91070,91071,185019,143841,2012-08-31 00:00:00,67.0,72.0,right,high,medium,78.0,54.0,44.0,60.0,53.0,66.0,83.0,68.0,66.0,63.0,79.0,79.0,78.0,67.0,72.0,69.0,70.0,71.0,57.0,59.0,48.0,34.0,66.0,50.0,58.0,24.0,33.0,29.0,7.0,15.0,7.0,14.0,9.0,5476,Juanmi Callejon,185019,177,154,25
91079,91080,197891,191873,2015-09-21 00:00:00,70.0,77.0,right,high,medium,39.0,69.0,66.0,64.0,65.0,75.0,60.0,57.0,48.0,72.0,76.0,76.0,77.0,76.0,80.0,68.0,75.0,68.0,51.0,56.0,55.0,23.0,83.0,65.0,62.0,25.0,28.0,25.0,11.0,6.0,9.0,12.0,9.0,5477,Juanmi,197891,170,139,22
91104,91105,216468,573463,2016-03-03 00:00:00,75.0,85.0,left,medium,medium,70.0,71.0,52.0,76.0,39.0,80.0,69.0,74.0,73.0,78.0,72.0,76.0,78.0,69.0,82.0,75.0,61.0,69.0,40.0,72.0,42.0,35.0,75.0,77.0,66.0,39.0,43.0,36.0,8.0,6.0,12.0,14.0,6.0,5478,"Juanpi,20",216468,170,143,22
91122,91123,208157,303935,2016-04-14 00:00:00,64.0,70.0,right,medium,low,37.0,69.0,59.0,58.0,56.0,70.0,49.0,44.0,51.0,69.0,69.0,68.0,73.0,51.0,65.0,74.0,73.0,72.0,70.0,58.0,36.0,14.0,54.0,43.0,68.0,17.0,15.0,14.0,13.0,13.0,9.0,14.0,13.0,5479,Juanto,208157,177,159,24
91134,91135,217565,493731,2016-04-14 00:00:00,67.0,73.0,right,medium,medium,29.0,22.0,72.0,40.0,30.0,36.0,36.0,27.0,35.0,45.0,64.0,63.0,51.0,61.0,39.0,42.0,73.0,59.0,73.0,25.0,67.0,64.0,30.0,32.0,48.0,71.0,73.0,68.0,12.0,12.0,11.0,9.0,8.0,5480,Jubal,217565,190,174,23
